source,target,value
/case-studies,BouncesDirect,331
/priority,BouncesDirect,289
Policy-teams,BouncesDirect,106
/organisations,BrowseDirect,175368
/publications,BrowseDirect,44614
/news/,BrowseDirect,17915
/world,BrowseDirect,38059
/consultations,BrowseDirect,5621
/policies,BrowseDirect,8529
(other sections),BrowseDirect,3360
/world-location-news,BrowseDirect,1526
/speeches,BrowseDirect,1683
/announcements,BrowseDirect,3952
/people,BrowseDirect,521
/statistical-data-sets,BrowseDirect,558
/topics,BrowseDirect,1034
/ministers,BrowseDirect,235
/fatalities,BrowseDirect,72
/case-studies,BrowseDirect,65
/priority,BrowseDirect,129
Policy-teams,BrowseDirect,74
/news/,BouncesOther,13122
/publications,BouncesOther,11042
/consultations,BouncesOther,709
/organisations,BouncesOther,707
/world-location-news,BouncesOther,613
/speeches,BouncesOther,275
(other sections),BouncesOther,193
/policies,BouncesOther,130
/statistical-data-sets,BouncesOther,64
/world,BouncesOther,42
/announcements,BouncesOther,36
/people,BouncesOther,12
/topics,BouncesOther,10
/fatalities,BouncesOther,1
/ministers,BouncesOther,0
/priority,BouncesOther,0
/news/,BrowseOther,3612
/publications,BrowseOther,5047
/consultations,BrowseOther,326
/organisations,BrowseOther,1739
/world-location-news,BrowseOther,200
/speeches,BrowseOther,68
(other sections),BrowseOther,66
/policies,BrowseOther,122
/statistical-data-sets,BrowseOther,31
/world,BrowseOther,56
/announcements,BrowseOther,75
/people,BrowseOther,6
/topics,BrowseOther,11
/fatalities,BrowseOther,0
/ministers,BrowseOther,3
/priority,BrowseOther,1
/organisations,BounceGOV,136467
/publications,BounceGOV,392307
/news/,BounceGOV,103
/world,BounceGOV,1348
/consultations,BounceGOV,5174
/policies,BounceGOV,2091
(other sections),BounceGOV,9468
/world-location-news,BounceGOV,15
/speeches,BounceGOV,300
/announcements,BounceGOV,2609
/people,BounceGOV,10
/statistical-data-sets,BounceGOV,1110
/topics,BounceGOV,2510
/ministers,BounceGOV,164
/fatalities,BounceGOV,1
/case-studies,BounceGOV,356
/priority,BounceGOV,222
Policy-teams,BounceGOV,59
/organisations,BrowseGOV,93586
/publications,BrowseGOV,238245
/news/,BrowseGOV,17052
/world,BrowseGOV,22007
/consultations,BrowseGOV,1342
/policies,BrowseGOV,22834
(other sections),BrowseGOV,1931
/world-location-news,BrowseGOV,1889
/speeches,BrowseGOV,230
/announcements,BrowseGOV,3588
/people,BrowseGOV,9
/statistical-data-sets,BrowseGOV,186
/topics,BrowseGOV,2376
/ministers,BrowseGOV,73
/fatalities,BrowseGOV,7
/case-studies,BrowseGOV,124
/priority,BrowseGOV,97
Policy-teams,BrowseGOV,21
